DEBUG 2018-05-08 14:49:34,102 /Users/surui/.pyenv/versions/3.5.5/envs/hyx/lib/python3.5/site-packages/django/db/backends/utils.py utils.py utils execute 111: (0.001) SELECT `ui_teacher`.`id`, `ui_teacher`.`name`, `ui_teacher`.`sex`, `ui_teacher`.`mobile`, `ui_teacher`.`qq`, `ui_teacher`.`job`, `ui_teacher`.`course`, `ui_teacher`.`guide_type`, `ui_teacher`.`birth_date`, `ui_teacher`.`bank_number`, `ui_teacher`.`bank_name`, `ui_teacher`.`bank_branch`, `ui_teacher`.`bachelor_school`, `ui_teacher`.`bachelor_major`, `ui_teacher`.`grade_year`, `ui_teacher`.`professional_salary`, `ui_teacher`.`open_class_salary`, `ui_teacher`.`one_to_one_salary`, `ui_teacher`.`other_salary`, `ui_teacher`.`now_school`, `ui_teacher`.`now_major`, `ui_teacher`.`if_pass_direct`, `ui_teacher`.`english_class_score`, `ui_teacher`.`politic_class_score`, `ui_teacher`.`first_rank`, `ui_teacher`.`final_rank`, `ui_teacher`.`qq_group`, `ui_teacher`.`remark`, `ui_teacher`.`extend`, `ui_teacher`.`create_time`, `ui_teacher`.`update_time` FROM `ui_teacher` WHERE `ui_teacher`.`name` LIKE BINARY '%%' LIMIT 1; args=('%%',)
DEBUG 2018-05-08 14:49:34,105 /Users/surui/.pyenv/versions/3.5.5/envs/hyx/lib/python3.5/site-packages/django/db/backends/utils.py utils.py utils execute 111: (0.001) SELECT `ui_teacher`.`id`, `ui_teacher`.`name`, `ui_teacher`.`sex`, `ui_teacher`.`mobile`, `ui_teacher`.`qq`, `ui_teacher`.`job`, `ui_teacher`.`course`, `ui_teacher`.`guide_type`, `ui_teacher`.`birth_date`, `ui_teacher`.`bank_number`, `ui_teacher`.`bank_name`, `ui_teacher`.`bank_branch`, `ui_teacher`.`bachelor_school`, `ui_teacher`.`bachelor_major`, `ui_teacher`.`grade_year`, `ui_teacher`.`professional_salary`, `ui_teacher`.`open_class_salary`, `ui_teacher`.`one_to_one_salary`, `ui_teacher`.`other_salary`, `ui_teacher`.`now_school`, `ui_teacher`.`now_major`, `ui_teacher`.`if_pass_direct`, `ui_teacher`.`english_class_score`, `ui_teacher`.`politic_class_score`, `ui_teacher`.`first_rank`, `ui_teacher`.`final_rank`, `ui_teacher`.`qq_group`, `ui_teacher`.`remark`, `ui_teacher`.`extend`, `ui_teacher`.`create_time`, `ui_teacher`.`update_time` FROM `ui_teacher` WHERE `ui_teacher`.`name` LIKE BINARY '%%'; args=('%%',)
DEBUG 2018-05-08 14:49:34,768 /Users/surui/.pyenv/versions/3.5.5/envs/hyx/lib/python3.5/site-packages/django/db/backends/utils.py utils.py utils execute 111: (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
DEBUG 2018-05-08 14:49:34,769 /Users/surui/.pyenv/versions/3.5.5/envs/hyx/lib/python3.5/site-packages/django/db/backends/utils.py utils.py utils execute 111: (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
DEBUG 2018-05-08 14:49:34,770 /Users/surui/.pyenv/versions/3.5.5/envs/hyx/lib/python3.5/site-packages/django/db/backends/utils.py utils.py utils execute 111: (0.001) SELECT VERSION(); args=None
DEBUG 2018-05-08 14:49:34,774 /Users/surui/.pyenv/versions/3.5.5/envs/hyx/lib/python3.5/site-packages/django/db/backends/utils.py utils.py utils execute 111: (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
DEBUG 2018-05-08 14:49:34,776 /Users/surui/.pyenv/versions/3.5.5/envs/hyx/lib/python3.5/site-packages/django/db/backends/utils.py utils.py utils execute 111: (0.001) SELECT COUNT(*) AS `__count` FROM `ui_student` WHERE `ui_student`.`name` LIKE BINARY '%%'; args=('%%',)
DEBUG 2018-05-08 14:49:34,778 /Users/surui/.pyenv/versions/3.5.5/envs/hyx/lib/python3.5/site-packages/django/db/backends/utils.py utils.py utils execute 111: (0.001) SELECT `ui_student`.`id`, `ui_student`.`name`, `ui_student`.`if_old_major`, `ui_student`.`sex`, `ui_student`.`mobile`, `ui_student`.`qq`, `ui_student`.`adviser`, `ui_student`.`due_year`, `ui_student`.`old_school`, `ui_student`.`old_major`, `ui_student`.`study_status`, `ui_student`.`status`, `ui_student`.`apply_time`, `ui_student`.`source`, `ui_student`.`background`, `ui_student`.`qq_group`, `ui_student`.`author`, `ui_student`.`remark`, `ui_student`.`extend`, `ui_student`.`create_time`, `ui_student`.`update_time` FROM `ui_student` WHERE `ui_student`.`name` LIKE BINARY '%%' LIMIT 10; args=('%%',)
DEBUG 2018-05-08 14:49:34,787 /Users/surui/.pyenv/versions/3.5.5/envs/hyx/lib/python3.5/site-packages/django/db/backends/utils.py utils.py utils execute 111: (0.008) SELECT `ui_student`.`id`, `ui_student`.`name`, `ui_student`.`if_old_major`, `ui_student`.`sex`, `ui_student`.`mobile`, `ui_student`.`qq`, `ui_student`.`adviser`, `ui_student`.`due_year`, `ui_student`.`old_school`, `ui_student`.`old_major`, `ui_student`.`study_status`, `ui_student`.`status`, `ui_student`.`apply_time`, `ui_student`.`source`, `ui_student`.`background`, `ui_student`.`qq_group`, `ui_student`.`author`, `ui_student`.`remark`, `ui_student`.`extend`, `ui_student`.`create_time`, `ui_student`.`update_time` FROM `ui_student` WHERE `ui_student`.`name` LIKE BINARY '%%'; args=('%%',)
DEBUG 2018-05-08 14:49:35,224 /Users/surui/.pyenv/versions/3.5.5/envs/hyx/lib/python3.5/site-packages/django/db/backends/utils.py utils.py utils execute 111: (0.001) SELECT @@SQL_AUTO_IS_NULL; args=None
DEBUG 2018-05-08 14:49:35,225 /Users/surui/.pyenv/versions/3.5.5/envs/hyx/lib/python3.5/site-packages/django/db/backends/utils.py utils.py utils execute 111: (0.001) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
